mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_polyfeaturetransformer__poly_order,param_lasso__max_iter,param_lasso__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2253748416900634,0.37345689727893455,0.00642547607421875,0.0013501044778253793,4,100000,0.001,"{'polyfeaturetransformer__poly_order': 4, 'lasso__max_iter': 100000, 'lasso__alpha': 0.001}",-31234915680.9745,-30733357346.183193,-29529553212.594917,-30728497634.650993,-31158300846.941643,-30676924944.26905,610799913.3835682,2
124.03027329444885,14.820451684183489,0.016179370880126952,0.0007225956437815841,10,100000,0.1,"{'polyfeaturetransformer__poly_order': 10, 'lasso__max_iter': 100000, 'lasso__alpha': 0.1}",-31006626435.83976,-1755470573414.9119,-29241622148.909206,-31292574732.71043,-31142751027.26564,-375630829551.92737,689920272654.7632,9
0.008999013900756836,0.0022814833090735787,0.0018189907073974609,0.00041038193229843574,1,100000,0.1,"{'polyfeaturetransformer__poly_order': 1, 'lasso__max_iter': 100000, 'lasso__alpha': 0.1}",-32639533663.962654,-31681933691.83525,-30740489621.662712,-31589545952.631992,-32161895271.074608,-31762679640.23344,633973771.5187985,6
62.341034984588624,8.8820258364785,0.009602022171020509,0.002058810170067787,6,100000,1.0,"{'polyfeaturetransformer__poly_order': 6, 'lasso__max_iter': 100000, 'lasso__alpha': 1.0}",-30958378518.856445,-31378500156.73123,-29334097148.29847,-31638943842.061954,-31129095497.528618,-30887803032.695343,810209986.4942032,3
128.9809447288513,21.88594962338863,0.01280069351196289,0.0020415127580088294,8,100000,0.001,"{'polyfeaturetransformer__poly_order': 8, 'lasso__max_iter': 100000, 'lasso__alpha': 0.001}",-31066631766.164253,-541084838845.61444,-29265819662.430885,-34394220582.29077,-31114451919.04547,-133385192555.10918,203856542794.81,8
112.1352439880371,9.81152782787803,0.013603401184082032,0.0012038004223390059,9,100000,1.0,"{'polyfeaturetransformer__poly_order': 9, 'lasso__max_iter': 100000, 'lasso__alpha': 1.0}",-31034406703.044964,-36408005340.85138,-29247590304.013985,-30718031332.019073,-31136591422.3996,-31708925020.4658,2445564779.500276,5
69.41299986839294,0.7192604132238994,0.008998918533325195,0.0012665165237246514,7,100000,0.01,"{'polyfeaturetransformer__poly_order': 7, 'lasso__max_iter': 100000, 'lasso__alpha': 0.01}",-31033358515.765804,-52358359431.32522,-29290672137.390186,-38222127356.47651,-31092458974.87616,-36399395283.16677,8549886048.666738,7
57.257600450515746,1.0487609027837046,0.007799768447875976,0.0007487542609120437,6,100000,0.01,"{'polyfeaturetransformer__poly_order': 6, 'lasso__max_iter': 100000, 'lasso__alpha': 0.01}",-30958555117.687523,-31378228021.531765,-29334135004.164925,-31640483682.240494,-31129226157.91891,-30888125596.70872,810459084.1539446,4
0.06059908866882324,0.004271864261323763,0.004201316833496093,0.0007507124473901522,3,100000,0.1,"{'polyfeaturetransformer__poly_order': 3, 'lasso__max_iter': 100000, 'lasso__alpha': 0.1}",-31318116800.269257,-30681722695.055794,-29602271437.99357,-30467482204.338383,-31217866131.543095,-30657491853.84002,616542874.0233386,1
104.14677243232727,1.4290886843601658,0.014001607894897461,0.0008946291635226344,10,100000,0.001,"{'polyfeaturetransformer__poly_order': 10, 'lasso__max_iter': 100000, 'lasso__alpha': 0.001}",-31006635267.25582,-1761965189309.5486,-29241627473.397102,-31292579038.970875,-31142772496.87898,-376929760717.2103,692518113518.5648,10
